,1. Spare Parts Agent,2. Supply Chain and Logistics,3. Health & Safety,4. Human Resources,5. Training and Improve,6. Research and Development,7. Restaurant,8. Accounting,9. IT Department,10. Cafeteria (1),11. Cafeteria (2),12. Service Room,13. Standards,14. Customer Relations & Public Affairs,15. Visiting Office,16. Operations,17. Quality Assurance and Quality Systems,18. Plant Management,19. Employees Affairs,20. Maintenance and Utilities,21. Meeting Venue,22. Sales and Marketing,23. Security,24. Finance & Cost Control,25. Distribution,26. Inventory Control,27. Technology,28. General Services,29. Legal & Compliance,30. Information Management
14. Customer Relations & Public Affairs,96.0,241.0,154.0,185.0,82.0,127.0,30.0,182.0,758.0,18.0,30.0,776.0,595.0,0.0,527.0,86.0,822.0,108.0,139.0,120.0,35.0,87.0,212.0,83.0,47.0,49.0,183.0,59.0,94.0,83.0
15. Visiting Office,85.0,123.0,75.0,2160.0,357.0,666.0,2211.0,45.0,36.0,52.0,41.0,428.0,18.0,1278.0,0.0,24.0,87.0,49.0,1727.0,51.0,902.0,504.0,735.0,55.0,80.0,33.0,79.0,65.0,1792.0,21.0
16. Operations,93.0,583.0,295.0,101.0,369.0,688.0,77.0,246.0,210.0,76.0,29.0,65.0,452.0,34.0,70.0,0.0,983.0,1496.0,356.0,806.0,14.0,124.0,51.0,80.0,1900.0,1536.0,1134.0,243.0,195.0,178.0
17. Quality Assurance and Quality Systems,668.0,155.0,193.0,64.0,395.0,772.0,71.0,69.0,53.0,84.0,12.0,115.0,884.0,98.0,62.0,180.0,0.0,179.0,28.0,293.0,27.0,409.0,65.0,84.0,80.0,97.0,93.0,77.0,1168.0,60.0
18. Plant Management,84.0,3447.0,32.0,64.0,44.0,182.0,78.0,607.0,547.0,68.0,81.0,53.0,221.0,665.0,64.0,1613.0,518.0,0.0,79.0,631.0,30.0,28.0,112.0,520.0,914.0,288.0,205.0,40.0,60.0,210.0
19. Employees Affairs,57.0,78.0,197.0,1731.0,1143.0,996.0,90.0,867.0,289.0,45.0,66.0,52.0,38.0,71.0,755.0,28.0,22.0,47.0,0.0,36.0,39.0,75.0,30.0,177.0,64.0,40.0,137.0,60.0,86.0,165.0
20. Maintenance and Utilities,1193.0,888.0,478.0,96.0,198.0,289.0,86.0,185.0,310.0,28.0,45.0,72.0,98.0,83.0,16.0,178.0,451.0,984.0,84.0,0.0,19.0,291.0,20.0,99.0,93.0,93.0,85.0,73.0,86.0,80.0
21. Meeting Venue,91.0,81.0,40.0,90.0,30.0,214.0,71.0,27.0,65.0,42.0,61.0,28.0,75.0,93.0,72.0,56.0,95.0,95.0,91.0,68.0,0.0,87.0,40.0,125.0,38.0,49.0,97.0,75.0,18.0,29.0
22. Sales and Marketing,978.0,622.0,42.0,197.0,130.0,82.0,23.0,2119.0,78.0,46.0,13.0,47.0,177.0,167.0,2182.0,1184.0,1933.0,1119.0,1343.0,271.0,79.0,0.0,178.0,20.0,1269.0,79.0,86.0,87.0,39.0,407.0
23. Security,51.0,15.0,31.0,98.0,35.0,19.0,82.0,56.0,77.0,20.0,68.0,32.0,78.0,542.0,26.0,22.0,72.0,28.0,30.0,55.0,23.0,32.0,0.0,47.0,20.0,49.0,69.0,47.0,66.0,31.0
24. Finance & Cost Control,65.0,145.0,22.0,150.0,89.0,62.0,69.0,111.0,134.0,33.0,45.0,50.0,77.0,94.0,65.0,144.0,80.0,112.0,71.0,74.0,40.0,132.0,140.0,0.0,127.0,74.0,81.0,142.0,63.0,60.0
25. Distribution,85.0,1557.0,291.0,86.0,157.0,782.0,84.0,205.0,478.0,53.0,42.0,75.0,53.0,192.0,57.0,1866.0,519.0,692.0,86.0,353.0,91.0,186.0,78.0,715.0,0.0,89.0,66.0,46.0,30.0,51.0
26. Inventory Control,51.0,795.0,50.0,93.0,66.0,375.0,49.0,459.0,776.0,13.0,47.0,71.0,76.0,742.0,894.0,1204.0,313.0,380.0,835.0,661.0,35.0,81.0,57.0,718.0,700.0,0.0,81.0,54.0,42.0,81.0
27. Technology,52.0,154.0,75.0,144.0,544.0,557.0,92.0,786.0,83.0,42.0,16.0,44.0,178.0,854.0,49.0,719.0,149.0,340.0,146.0,433.0,83.0,136.0,193.0,437.0,677.0,79.0,0.0,65.0,57.0,71.0
28. General Services,77.0,50.0,36.0,181.0,155.0,177.0,53.0,280.0,114.0,10.0,54.0,64.0,78.0,251.0,165.0,198.0,196.0,134.0,207.0,118.0,97.0,201.0,113.0,243.0,109.0,194.0,58.0,0.0,36.0,53.0
29. Legal & Compliance,94.0,631.0,48.0,137.0,97.0,72.0,50.0,44.0,61.0,38.0,40.0,49.0,133.0,98.0,135.0,92.0,118.0,116.0,122.0,63.0,100.0,109.0,72.0,69.0,100.0,12.0,119.0,24.0,0.0,76.0
30. Information Management,51.0,146.0,160.0,112.0,95.0,111.0,56.0,84.0,66.0,51.0,61.0,102.0,72.0,80.0,115.0,83.0,165.0,86.0,170.0,103.0,85.0,159.0,153.0,98.0,102.0,73.0,75.0,102.0,171.0,0.0
