id,x,y,fixed_dist,type
110,-44.42,101.34,99.12,Residential and Commercial Areas
111,-36.53,3.02,18.26,Residential and Commercial Areas
112,52.87,-43.64,59.99,Residential and Commercial Areas
113,18.48,-42.89,43.41,Residential and Commercial Areas
114,63.04,-95.7,18.3,Recycling Area
115,105.12,37.99,56.84,Port
116,-2.0,-106.5,109.3,Residential and Commercial Areas
117,20.78,-23.69,134.14,Residential and Commercial Areas
118,12.16,-0.3,136.95,Residential and Commercial Areas
119,67.63,9.16,124.63,Ministry of Energy Branch
120,25.06,-0.58,136.74,Residential and Commercial Areas
121,15.8,23.34,104.52,Residential and Commercial Areas
122,-21.38,72.27,123.18,Residential and Commercial Areas
123,-128.95,-28.31,58.46,Available Land Sites
124,-31.3,88.7,134.68,Residential and Commercial Areas
125,-0.88,-33.24,89.85,Residential and Commercial Areas
126,42.14,75.4,12.45,Residential and Commercial Areas
127,-30.77,-35.33,47.52,Residential and Commercial Areas
128,27.41,-43.73,44.49,Residential and Commercial Areas
129,0.13,24.76,116.17,Governmental Facility
130,2.87,45.72,41.45,Residential and Commercial Areas
131,72.45,2.61,64.22,Residential and Commercial Areas
132,26.61,-25.83,79.37,Residential and Commercial Areas
133,-137.97,91.55,98.74,Nuclear Plant
134,47.62,2.5,74.82,Residential and Commercial Areas
135,-27.78,16.3,29.57,Residential and Commercial Areas
136,28.77,68.73,5.98,Residential and Commercial Areas
137,-18.83,17.96,119.83,Water Cooling Systems Facility
138,-54.75,67.08,12.29,Residential and Commercial Areas
139,27.89,-39.69,141.51,Residential and Commercial Areas
140,24.24,-110.62,99.63,Residential and Commercial Areas
141,96.75,60.46,67.75,Large-scale battery storage facilities
142,-87.49,-4.55,126.18,Residential and Commercial Areas
143,5.37,63.53,124.02,Residential and Commercial Areas
144,43.48,44.96,41.56,Residential and Commercial Areas
145,37.86,-3.09,5.92,Governmental Facility
146,91.83,-24.6,36.19,Residential and Commercial Areas
147,-20.2,77.4,34.53,Residential and Commercial Areas
148,-18.49,50.43,29.12,Residential and Commercial Areas
149,41.53,-35.75,12.85,Noise Monitoring Center
150,14.77,3.31,68.08,Residential and Commercial Areas
151,-37.26,84.13,96.44,Residential and Commercial Areas
152,-77.34,11.45,139.2,Turbine and PV Maintenance Center
153,-25.53,-17.11,36.58,Residential and Commercial Areas
154,27.62,96.69,14.53,Residential and Commercial Areas
155,-57.81,17.28,43.82,Governmental Facility
156,29.79,36.32,26.82,Residential and Commercial Areas
157,35.86,34.24,102.15,Residential and Commercial Areas
158,-57.96,18.68,27.03,Residential and Commercial Areas
159,-26.64,45.59,57.21,Governmental Facility
160,12.44,-85.65,123.98,Residential and Commercial Areas
161,-15.84,10.57,7.53,Storage and Logistics Centers
162,20.94,-17.58,43.81,Power Grid Connection Points
163,17.65,92.19,24.24,Residential and Commercial Areas
164,-70.31,73.53,0.34,Reworking Station
165,-46.58,-55.97,41.65,Residential and Commercial Areas
166,59.14,-1.35,74.15,Residential and Commercial Areas
167,21.7,-52.06,21.08,Residential and Commercial Areas
168,17.23,0.08,76.96,Weather Stations
169,51.81,102.41,27.18,Residential and Commercial Areas
170,-118.41,-28.66,14.28,Available Land Sites
171,43.18,47.45,19.09,Residential and Commercial Areas
172,14.96,-8.16,71.81,Power Grid Connection Points
173,-30.68,-59.31,31.58,Residential and Commercial Areas
174,43.73,-45.91,115.1,Residential and Commercial Areas
175,-73.88,-59.9,17.03,Residential and Commercial Areas
176,2.2,3.69,83.7,Residential and Commercial Areas
177,74.71,-30.69,140.25,Storage and Logistics Centers
178,-35.47,-76.71,21.31,Residential and Commercial Areas
179,-1.26,-41.9,90.66,Residential and Commercial Areas
180,-26.83,48.57,8.31,Centrlized Hospital
181,33.98,21.75,104.0,Residential and Commercial Areas
182,82.33,8.3,92.95,Residential and Commercial Areas
183,17.11,48.61,106.78,Governmental Facility
184,-26.41,7.16,61.58,Power Grid Connection Points
185,39.14,10.95,5.36,Residential and Commercial Areas
186,55.81,83.33,145.26,Residential and Commercial Areas
187,26.16,-41.89,12.81,Residential and Commercial Areas
188,-9.02,-36.68,22.04,Turbine and PV Maintenance Center
189,-6.14,-30.38,1.48,Residential and Commercial Areas
190,-59.69,53.25,61.19,Residential and Commercial Areas
191,112.59,-92.93,1.09,Industrial Zone
192,2.55,1.58,13.19,Wildlife Monitoring Stations
193,-30.34,-42.07,83.88,Residential and Commercial Areas
194,-37.71,-11.02,123.52,Residential and Commercial Areas
195,-0.2,0.1,115.91,Residential and Commercial Areas
196,8.94,-95.75,36.11,Residential and Commercial Areas
197,26.94,-26.56,53.45,Power Grid Connection Points
