,Z-1,Z-2,Z-3,Z-4,Z-5,Z-6,Z-7,Z-8,Z-9,Z-10,Z-11,Z-12,Z-13,Z-14,Z-15,Z-16,Z-17,Z-18,Z-19,Z-20,Z-21,Z-22,Z-23,Z-24,Z-25,Z-26,Z-27,Z-28,Z-29,Z-30,Z-31,Z-32,Z-33,Z-34,Z-35,Z-36,Z-37,Z-38,Z-39,Z-40,Z-41,Z-42,Z-43,Z-44,Z-45,Z-46,Z-47,Z-48,Z-49,Z-50,Z-51,Z-52,Z-53,Z-54,Z-55,Z-56,Z-57,Z-58,Z-59,Z-60,Z-61,Z-62,Z-63,Z-64,Z-65,Z-66,Z-67,Z-68,Z-69,Z-70,Z-71,Z-72,Z-73,Z-74,Z-75,Z-76,Z-77,Z-78,Z-79,Z-80,Z-81,Z-82,Z-83,Z-84,Z-85,Z-86,Z-87,Z-88,Z-89,Z-90,Z-91,Z-92,Z-93,Z-94,Z-95,Z-96,Z-97,Z-98,Z-99,Z-100,Z-101,Z-102,Z-103,Z-104,Z-105,Z-106,Z-107,Z-108,Z-109,Z-110,Z-111,Z-112,Z-113,Z-114,Z-115,Z-116,Z-117,Z-118,Z-119,Z-120,Z-121,Z-122,Z-123,Z-124,Z-125,Z-126,Z-127,Z-128,Z-129,Z-130,Z-131,Z-132,Z-133,Z-134,Z-135,Z-136,Z-137
Z-11,58143.86,144.79,65621.9,90312.76,64259.63,72445.33,135316.84,74169.64,134046.66,153442.3,inf,13442.11,39811.23,91166.54,107718.98,87144.76,152717.21,61756.82,93671.93,152167.02,137728.05,148247.99,21617.2,106075.85,69648.25,88839.11,64611.31,107561.78,116309.36,91853.67,108099.17,98683.27,35834.7,154230.55,80330.54,94534.18,69241.48,146692.24,132673.22,99090.57,167618.17,138055.57,11540.85,121387.81,110315.61,115091.41,66790.97,94902.33,inf,22334.89,74752.54,100990.37,107973.26,161891.75,47043.95,147194.04,55411.96,120487.48,65158.88,148461.39,168847.94,47619.8,143505.9,152339.32,105312.79,149477.75,129176.83,168028.22,102803.32,79528.55,97554.06,99995.75,142104.89,72171.71,143362.41,64034.13,93082.8,167116.51,107454.97,78520.12,79573.12,51348.95,128262.58,74409.6,67062.01,125266.82,117936.64,110889.18,104657.29,42337.9,128757.4,41840.53,inf,69164.37,195088.6,135660.57,160353.46,125251.85,70395.79,72222.38,100637.66,35759.88,120120.81,110310.42,64338.62,59562.89,61332.25,80747.47,99313.5,103691.86,115561.51,134899.66,60556.36,83088.89,43457.21,170622.45,98680.08,103358.62,97391.16,177947.63,99490.21,inf,82407.93,84120.82,93726.75,87092.19,60170.15,inf,125272.07,98010.94,13197.15,70278.82,6124.91,15957.17,106959.02,125264.0,86654.86
Z-12,88835.23,163745.13,104366.69,154082.19,133757.52,120874.15,80210.05,83870.44,inf,122514.51,64633.32,inf,inf,155242.33,115183.19,25341.22,129733.62,105165.55,50007.88,175526.87,145587.88,89474.0,79170.01,124849.59,110373.49,120047.69,112081.54,145392.84,50129.43,53967.03,77526.94,162132.77,93151.91,101072.58,88565.67,inf,121836.32,94633.57,131583.91,115355.17,116014.36,104536.04,85826.49,105382.88,117068.88,inf,118590.21,48178.52,134576.07,42857.59,113596.88,103275.93,141029.71,69124.83,88239.3,72361.42,12057.68,77444.34,inf,36792.2,34846.04,156635.04,89238.5,7755.5,130055.99,inf,93302.29,59318.42,58147.08,121148.5,44886.8,61064.07,141283.53,163649.29,114425.26,67166.62,33526.04,74898.97,156668.53,96348.56,115764.9,inf,78985.07,72178.07,107637.2,inf,169040.26,135092.26,85765.5,166149.31,71285.38,78142.9,135013.02,177084.27,63604.12,62283.96,111807.42,117955.95,51900.79,inf,50865.71,98337.24,120362.55,120977.22,78036.59,198601.32,136727.55,129460.44,142340.61,76899.54,91192.02,112400.76,75003.3,inf,46021.59,94401.75,127435.03,68950.99,inf,34781.11,101259.88,92073.73,100893.95,109236.97,142066.89,72783.58,122423.06,105459.46,74014.7,109959.17,64647.22,75899.61,26779.88,138833.14,23530.91,86066.98,132362.54
Z-13,16328.31,105260.59,87022.2,135636.51,85491.0,109813.92,155843.73,99194.25,137775.18,108027.03,78383.26,112966.05,inf,inf,100579.36,105110.86,77366.05,inf,98485.37,74586.85,72700.87,110942.14,33650.62,40619.72,69942.34,170331.48,134763.17,144824.27,120688.51,102588.78,166051.14,8138.57,173918.07,155371.28,86446.5,107683.76,87892.31,41184.33,121612.16,18596.79,90717.64,143520.41,62626.45,111704.55,152268.16,138345.6,158631.83,129959.86,94182.1,inf,65592.26000000001,136236.75,128874.49,67091.69,56005.72,106158.48,112857.06,110804.6,102370.38,159785.01,127721.55,90565.01,52948.01,124847.05,106223.28,105792.85,127376.17,88781.97,111215.6,128363.33,195815.71,59803.73,56886.38,32614.86,110988.05,73023.5,144775.14,inf,53208.42,inf,132241.35,157055.16,158807.19,128269.4,138061.13,20873.21,5865.63,105018.83,103521.58,142750.86,128083.62,43737.47,74930.89,71411.52,111252.02,103502.19,168062.08,134896.51,167748.18,92727.38,89660.6,75537.0,116676.61,137853.31,inf,inf,124310.22,112431.58,134292.01,119513.64,42844.45,76377.03,106826.7,104781.65,87482.5,74857.8,92573.69,91904.16,45242.59,46446.19,92106.53,17264.48,77156.67,34972.74,85530.64,130348.08,98286.95,142226.11,106056.0,74102.36,52619.64,162820.18,132766.23,149096.09,62308.75,119733.0,45942.11
Z-14,159047.16,70832.55,103651.45,72395.22,103418.38,62646.81,65117.89,182726.48,105382.83,166501.59,129485.64,13809.05,58025.08,inf,37208.36,61438.68,71055.78,95000.48,89279.5,154837.2,74328.45,121658.69,130728.58,156740.41,99835.59,98580.94,83264.17,27713.39,154907.2,59590.28,91661.31,inf,30380.89,92808.44,81384.82,81144.05,181348.12,41461.49,73442.88,59625.48,158502.13,inf,89873.92,89061.52,59496.37,162484.47,91382.95,107293.65,127613.33,109203.03,80292.59,78018.42,inf,106567.07,163408.32,77635.25,154214.4,72098.94,82768.75,72917.12,inf,69502.71,133735.19,51982.43,73380.0,111141.91,141120.33,46636.91,63736.19,60442.81,154778.48,142835.24,129705.32,53449.21,118549.96,162038.9,127591.04,100999.18,101425.68,inf,143343.26,79957.66,140325.59,inf,213451.79,143942.56,99887.97,inf,85770.81,5847.58,133513.79,84676.65,99952.74,138590.19,28263.67,99776.17,125057.99,36536.25,133785.43,153740.84,77435.65,104632.27,111863.9,115723.08,111510.78,inf,25989.53,127619.09,78114.27,84473.34,98868.92,161480.61,129458.72,88579.3,97888.25,137793.43,110485.17,156576.23,39747.77,99694.11,39453.82,78804.76,31385.75,89630.43,176836.8,140180.26,60073.1,173275.69,159375.34,39153.74,76458.38,117602.58,109002.94,61957.78,103405.38,101910.86,14382.77
Z-15,80786.92,161618.17,121548.21,171391.47,91499.81,91062.41,163535.07,67715.09,inf,140662.1,120861.96,146638.14,74195.14,61716.42,inf,56359.72,77749.83,92991.57,146093.15,inf,123672.56,67048.29,78561.46,103319.56,209556.87,90276.54,120763.28,59815.32,98296.01,151581.66,50643.82,130711.91,107934.08,74495.34,87439.85,162838.96,116796.46,121543.22,110454.9,104937.48,82329.58,66012.38,71735.35,150036.47,inf,128388.14,33924.81,inf,inf,42052.76,67021.56,141162.81,77431.44,67027.78,133612.14,8725.97,34599.81,inf,49858.78,inf,106445.05,83052.36,80044.5,82933.16,inf,60255.34,129671.33,108791.12,62273.33,inf,35321.05,65315.09,58334.95,164700.59,33262.19,166571.31,147636.28,75950.82,101818.84,79432.05,81826.12,85176.49,101561.92,57626.95,116003.43,163580.87,161556.15,67429.4,137460.41,77048.75,135215.41,153907.21,37447.7,86918.85,210617.28,158569.0,125910.4,inf,84570.61,37602.76,112000.49,166452.35,73305.25,53243.3,62109.67,51874.67,76970.42,84701.11,51881.69,74259.56,97255.49,129867.32,107815.85,147325.21,53275.04,100356.79,170599.97,114365.29,132625.24,133276.01,129604.6,48913.79,inf,88727.04,112239.55,120447.5,18115.24,92064.43,42268.3,109258.37,49279.71,inf,58986.02,77597.42,81572.41,77529.2,93156.64
Z-16,71716.59,154968.39,136995.07,70880.82,115171.63,97307.29,106063.7,84078.73,112374.49,122972.55,88519.97,77540.49,117817.97,108503.08,77322.04,inf,115779.23,inf,54659.63,66877.51,157711.94,150317.24,112979.39,120856.51,105215.59,114720.94,81923.86,91241.35,99206.0,103913.1,142437.33,81107.99,122420.42,166825.16,89277.58,69765.37,79411.31,124727.08,36499.85,54326.94,100450.48,93039.17,76464.21,145510.45,154046.68,107431.96,87808.36,117426.65,51180.29,131923.83,76685.98,inf,59951.75,116196.71,167864.7,71463.31,93085.3,24256.78,155494.8,149596.16,93341.8,114388.16,149090.19,133645.13,129573.06,122655.22,inf,inf,41717.55,70801.66,107864.51,107772.01,118592.46,146991.28,20102.68,112264.01,81737.82,87456.13,179217.68,124137.88,132593.03,78993.69,51550.62,176873.37,75032.83,112579.22,83788.79,127793.97,98089.38,121300.44,103848.11,inf,44395.97,121180.92,17264.67,160662.14,78697.23,74991.59,102618.43,129397.86,111524.02,61259.27,96834.45,92694.26,143920.35,85164.6,71191.47,65210.28,136734.15,29770.28,61756.19,85270.43,73203.81,142901.69,79286.58,114879.24,123731.98,101124.62,202284.95,39518.63,101072.35,inf,80217.75,88131.94,114579.94,147238.87,61806.01,141565.36,115519.7,145387.11,170917.25,89886.26,82984.47,213959.92,115709.17,101439.98,112210.55
Z-17,inf,87321.39,139702.3,87416.63,99549.52,36007.0,103344.92,149465.59,inf,138022.41,83109.55,111844.96,3898.65,48415.56,23257.67,85508.14,inf,99088.18,66792.5,144371.58,128982.9,44802.21,inf,101991.28,inf,119552.14,105705.48,131514.56,56322.39,88197.39,101651.49,83334.11,inf,129648.83,66221.82,120651.25,118663.41,91627.34,88717.58,116192.26,83910.47,83878.1,59563.89,107619.1,68123.83,92804.95,95870.28,103340.1,54736.32,77881.98,197372.52,173404.93,154728.32,98204.95,36381.23,95855.07,87337.02,139735.25,106073.7,112959.99,59635.84,72546.3,131332.56,89597.69,79888.84,111099.82,86790.1,93385.5,80071.13,87255.48,124726.9,inf,62785.77,152142.77,84207.6,118625.31,155414.22,133772.05,56829.13,89577.82,inf,151773.84,70809.45,152618.6,10503.57,146361.41,73286.74,177213.71,28842.83,127299.85,113636.32,108126.28,59553.3,109531.24,157815.45,96291.0,13725.87,91301.34,116022.63,61871.12,172796.87,59277.42,132855.58,123724.46,154612.39,98540.56,126208.38,150787.28,148716.32,153620.68,30194.39,99378.68,inf,inf,89309.01,62616.07,117988.39,inf,45547.03,100773.13,153247.06,76722.11,69832.94,inf,127707.02,149413.4,145237.86,99664.3,114230.47,130886.11,7840.14,91743.26,47603.58,178243.14,108441.08,105255.8,85444.54
Z-18,89990.72,70387.38,80425.32,114395.36,93891.08,91664.26,127971.88,64577.54,85492.7,57377.07,inf,80046.58,139814.59,13137.64,97105.82,129724.09,21635.26,inf,72565.86,146177.7,78727.66,55469.97,157366.53,117397.27,132414.7,85244.71,115892.75,101249.24,100503.41,59478.61,67360.3,50082.96,64798.96,174848.63,57632.64,115359.13,99654.73,136933.01,138777.73,148647.01,135272.39,122318.57,89294.06,57017.66,147531.24,104978.33,161365.58,inf,186668.0,76842.76,163332.49,93765.51,111915.62,93363.21,102100.43,52084.35,88594.85,127652.68,76648.81,115530.48,108143.73,inf,18069.65,97866.42,109419.77,108774.6,86315.72,135356.88,63365.46,49842.97,8285.18,28774.98,76747.66,108626.69,105642.17,125173.05,106504.17,inf,115192.48,29883.88,73488.07,126880.96,23306.7,158027.62,81081.88,63845.47,84163.62,119609.23,139128.39,129801.59,138236.66,78584.43,63174.71,67707.0,120981.74,1238.06,112854.72,148048.92,110448.62,80778.68,154697.52,175782.31,61275.42,26228.18,120358.9,57785.98,99980.31,84343.36,77350.75,121602.22,92233.28,165891.33,122380.84,172832.79,188268.74,108252.1,134000.5,124505.49,120423.45,117415.64,69595.79,156057.77,179087.96,87781.81,122904.51,65860.04,185823.92,76150.0,95918.98,103296.38,133745.88,104987.74,131053.23,81668.67,64050.72,inf,90716.82
Z-19,102060.43,94875.55,101335.38,92116.3,84148.08,86400.26,32733.14,115458.98,104424.52,88050.35,166349.2,68633.64,107924.69,82850.76,134936.73,137761.45,113198.14,48338.9,inf,inf,105823.96,72987.45,79048.8,104085.47,111029.58,82467.01,102179.65,178582.92,inf,129341.62,119379.52,87910.73,inf,181417.67,115395.25,101028.98,66675.2,inf,145667.41,96948.42,106947.9,101040.01,124902.66,77704.82,inf,47788.17,44355.8,132532.09,60949.77,70828.24,96613.12,84786.71,101323.5,67143.11,45732.95,54509.6,14346.5,74844.1,41852.63,126841.52,55871.17,136515.18,124736.54,98079.39,81393.06,104086.71,116446.84,60344.5,92548.55,72006.22,142557.24,83555.95,72421.81,inf,116205.5,113484.56,96208.86,91807.73,72519.82,13099.96,82449.34,115803.61,108362.56,72336.23,89040.97,141945.84,6137.74,100671.61,83726.32,106942.09,138176.27,79323.34,91352.93,81285.01,102843.34,82834.73,140264.86,43556.38,61344.37,101267.6,87795.67,38171.79,85786.88,127276.47,22681.13,132186.15,127853.59,83309.0,120222.73,96753.83,86202.94,143584.25,68291.75,150997.62,67606.35,29345.34,105274.48,87977.35,140969.21,128870.56,168631.88,142365.86,185509.26,117890.95,69003.78,87958.19,54879.02,52026.31,101963.92,50705.92,168626.42,172099.18,120334.4,24299.47,111921.07,38690.54,54799.57
Z-20,inf,127195.15,89866.73,88558.48,119832.21,113606.38,67312.42,148239.16,59268.7,71134.24,138852.43,52639.02,95635.89,133059.69,126672.48,111276.54,27884.27,98538.5,87758.81,inf,93194.56,106313.51,58135.88,68789.24,111914.0,105864.77,111750.54,150334.82,65246.64,112668.49,159122.95,136382.61,103948.34,111932.78,92242.79,157104.48,41669.34,75984.36,83070.79,196948.37,49651.53,119539.42,126795.29,120157.53,99124.83,90013.59,48839.36,48806.07,122140.7,138700.61,52761.7,107558.93,101441.87,60937.97,69083.94,173459.82,58270.34,132659.57,62839.12,85463.78,135039.47,inf,162775.92,108043.87,52764.29,184192.17,60142.87,32727.01,40557.75,122757.18,inf,82440.86,112860.38,95925.52,133434.31,31934.59,94640.42,179003.62,72250.34,142423.24,60674.8,134399.65,47429.39,144478.56,107288.28,148369.98,130902.44,99057.63,86294.84,104729.68,143082.93,137611.71,74960.12,72855.87,117055.55,84320.25,120559.55,106992.27,122810.81,110909.46,55353.13,75141.14,118667.17,125587.11,194233.06,129336.98,127475.6,216486.48,79648.12,inf,198883.37,162705.56,158760.99,63146.08,39896.39,66228.87,80756.87,inf,153081.42,68607.81,132388.14,140177.14,130119.77,98706.92,152796.84,116465.99,96434.43,34344.86,114573.2,114981.63,125440.72,76368.76,128585.74,61286.34,135524.44,156056.37,91467.21
Z-21,108820.95,160907.68,116157.4,109512.37,86345.25,104715.56,135307.76,158591.67,133949.75,120732.48,104391.48,95573.0,106899.03,165715.91,77551.35,176838.13,104949.78,140215.56,92393.45,132979.87,inf,114211.11,83554.6,89413.54,36179.67,72367.85,25768.56,53825.88,135586.19,135865.88,91244.13,2802.96,78447.74,158612.62,147952.18,117402.21,177095.63,6170.43,86110.89,131144.22999999998,117990.03,113583.37,144952.52,129927.2,113942.27,145328.77,91562.68,91748.14,92053.57,151389.81,13301.94,107652.13,129916.35,81395.78,83359.53,99236.42,62266.99,72235.2,87424.5,122356.15,95778.66,79727.62,38974.25,100396.49,133964.35,94997.44,138849.38,2824.57,141599.73,127611.58,119404.59,63282.41,17699.34,167001.94,121677.16,152803.66,144765.24,41948.66,144572.27,115608.94,88578.83,12570.23,85656.68,127860.8,12967.84,90506.08,94002.73,128521.82,104518.07,116990.6,107762.3,97700.21,110883.38,inf,118551.91,88387.67,55651.48,145433.48,164453.5,12045.46,116448.71,30885.37,89380.53,71401.97,42635.15,53271.31,161360.83,7742.82,98720.56,95783.39,106852.91,89047.57,135170.89,110786.0,inf,141820.57,114046.14,107827.14,172145.53,97013.75,69073.18,66119.96,130817.83,61004.09,114378.09,119546.99,158622.38,138447.5,46316.61,95547.23,136438.28,95600.23,84245.3,120766.68,15510.22,78238.17,68549.06
Z-22,197718.11,127643.83,62176.57,127197.3,89303.75,105854.02,93348.37,130714.78,94082.97,101662.5,47741.92,92864.35,116211.82,144514.91,70756.75,87691.14,186503.93,57575.39,66492.36,132069.92,inf,inf,99473.25,92802.73,88676.55,inf,114159.01,102373.65,141277.19,63504.22,85990.87,77285.59,120538.51,19584.28,157103.09,92263.1,85173.07,84389.88,108177.51,89796.46,inf,95462.47,99301.91,45050.11,88697.71,122595.45,156819.14,83757.93,110180.9,103744.82,88188.03,94641.68,74653.02,54411.18,108054.44,111885.38,66639.43,134041.5,73708.53,101057.14,107267.78,90041.89,38425.79,22311.17,83505.38,109760.25,87003.47,141039.72,131396.8,50393.93,152366.46,144521.79,122786.18,inf,147354.84,inf,inf,141060.29,54786.37,52795.86,182046.76,101339.67,164189.27,162652.54,115655.1,47017.58,76737.07,53424.07,107499.25,inf,114217.06,207886.67,59100.08,inf,137423.07,inf,109886.14,93934.36,153102.8,115645.74,141254.2,inf,149688.68,121677.66,93600.43,152306.44,86648.46,173291.51,55707.83,98438.11,80257.16,140439.94,129528.32,47552.64,125259.41,121777.2,93809.9,81761.57,169763.71,83948.35,84655.25,80205.92,119252.48,120627.24,109311.68,45373.15,106651.75,138429.66,152345.43,78255.86,91931.4,106228.69,81264.15,148592.25,131539.72,59630.01,107530.98
Z-23,206922.34,84938.4,89492.13,163741.47,93255.04,97212.4,128839.63,80980.84,65647.42,72621.77,98706.18,137084.18,113564.19,143745.56,75244.14,18371.92,227369.19,57885.11,135244.05,80214.3,117050.89,90427.39,inf,85858.37,147279.8,180327.89,74643.04,116079.57,132803.25,96392.28,62729.7,105856.68,104666.72,138132.43,81865.59,116031.93,38776.25,143456.76,136354.43,64195.01,103149.48,134871.45,106328.29,165361.74,44721.9,124589.51,121144.26,138208.25,77097.68,98273.05,76596.57,131659.14,118705.18,84421.96,64592.59,91278.67,34010.33,66014.37,141552.15,100593.62,29350.7,65251.7,139799.95,72661.75,24468.32,82218.57,75782.87,99409.92,162526.93,139407.41,95452.44,111981.14,115063.38,124237.86,88165.25,130265.73,103739.11,57341.37,92363.83,63729.7,62947.19,72363.54,93898.15,80329.77,97950.0,46507.55,102841.86,112824.95,131437.89,69266.43,111504.14,65921.67,158003.06,76264.92,120857.48,inf,58583.73,137331.63,148710.09,115957.68,97055.76,134052.53,107546.45,144025.33,86514.81,79684.71,115572.86,75771.2,65011.72,110830.95,37958.47,66290.16,121646.2,91422.0,106132.01,88857.3,48856.62,114557.55,84737.16,102993.99,118705.16,105156.45,87638.57,106043.5,59834.98,89985.78,52486.4,55573.25,39372.85,92154.14,138352.67,141716.35,36053.1,225537.06,162285.4,106190.02,77749.64
Z-24,94354.38,85055.05,82726.39,127525.95,93115.71,92572.73,80437.54,118050.22,104901.54,84782.91,120657.18,52066.23,159740.38,69600.72,30839.86,76227.92,153231.0,138943.48,89958.65,95977.33,164527.7,89305.53,90117.35,inf,110151.31,105537.15,77893.11,166089.95,87906.64,129344.26,27456.68,131295.76,116919.93,85272.25,88541.4,64590.6,170644.77,40120.06,178712.55,4243.81,163164.84,54257.52,102849.18,58954.63,126995.91,104058.71,139223.0,156938.79,110241.3,70690.72,130332.33,33810.44,128968.7,104201.84,57914.07,135251.05,143295.88,106755.46,189848.3,176668.38,130382.77,147574.65,132591.21,29182.25,111657.01,64300.74,135115.36,87891.16,40063.66,112261.73,128650.22,120766.31,97500.97,76001.33,159186.51,52924.57,77814.11,118980.87,68255.17,89328.36,61704.16,76975.34,73675.65,108441.23,74988.93,120400.17,96715.32,46857.99,84788.63,50131.94,65923.44,81433.51,147088.23,126359.22,67545.06,83428.06,49795.28,84915.08,97501.35,120641.04,69100.74,30377.57,84226.19,128153.81,146475.39,128716.48,147197.39,73248.29,96473.15,153493.63,98270.05,inf,101234.62,68277.98,70306.04,138004.69,48338.1,132411.96,87919.71,81210.93,97087.94,103758.38,164214.54,45503.8,39789.72,73555.66,50455.06,166709.53,162181.2,87431.93,87230.78,55142.16,134933.4,126289.32,129587.94,89641.31,132785.07
Z-25,inf,13065.25,96481.85,103547.68,inf,112129.36,118791.78,93325.21,127564.26,104851.78,96799.49,34702.65,134344.93,111192.52,153205.29,115435.25,116047.5,126271.03,116449.37,127699.06,139671.89,88456.0,94325.18,77884.64,inf,129029.13,39790.45,90210.63,88661.77,85979.1,38659.0,inf,40116.66,139721.81,73299.47,133809.26,131561.68,96475.95,156205.28,61160.36,54853.21,104519.39,114320.1,102940.08,76233.82,136053.59,181191.75,70528.15,137003.86,119155.67,135658.52,98030.4,inf,inf,106102.01,43936.28,105537.28,125870.73,117742.82,122520.76,102873.02,79877.94,92928.15,23691.06,141238.09,112331.54,80817.58,inf,63272.98,117331.42,117220.76,133101.93,101019.43,115016.96,86796.44,111569.62,34784.04,65324.7,33200.75,88632.5,97691.26,99168.81,60769.88,102668.8,125315.08,108044.47,117120.3,152812.22,109411.33,114296.31,70448.93,128784.6,158429.87,99666.0,92622.88,52061.81,107930.39,inf,75926.05,185392.97,inf,126074.24,129662.23,11351.58,125113.97,50732.86,103645.48,104319.3,135423.53,91114.05,116622.68,85816.25,15569.14,137324.53,inf,128781.61,92706.75,135538.93,49068.79,38885.34,48511.6,104497.21,94951.5,91613.72,189581.06,38081.68,133909.2,168845.46,156919.35,173502.04,1881.68,107641.45,86575.8,115492.4,127009.25,123030.25,150913.79
Z-26,117770.31,46617.61,62783.31,139915.31,86076.29,73929.54,79018.95,77727.23,78652.55,139599.48,91293.64,50807.23,62255.51,82444.18,51976.94,58353.68,206387.85,209636.72,132960.22,72441.61,75663.97,75215.58,inf,163098.41,inf,inf,142858.74,95746.87,95219.93,178750.91,145124.46,56256.89,84076.96,150690.14,126585.49,97729.93,61477.28,97424.12,69560.02,65646.03,99661.98,108601.78,104176.96,103625.35,167292.48,inf,120319.23,63468.95,106897.44,71315.54,83439.06,inf,105671.62,44518.78,161808.02,87958.05,117520.86,71955.99,78863.28,100794.0,108814.93,95476.33,153235.36,120769.76,155365.92,102941.51,178327.79,112896.4,118993.78,24155.81,159492.5,89221.35,100636.87,66870.76,151750.07,56795.71,25799.45,23485.07,87413.93,111367.72,29164.93,75691.33,inf,110588.2,90507.94,117895.41,29671.2,inf,53046.65,50551.35,49894.5,101100.05,95197.42,125822.86,137178.81,108762.81,163245.81,109502.22,inf,136325.41,56589.07,112943.38,131972.14,118704.87,64090.47,131592.85,138833.77,107613.86,84544.04,106360.89,117772.02,54279.69,23688.24,124111.36,72757.63,80482.19,54858.23,inf,91098.8,141718.23,132314.28,83795.82,173640.34,138299.68,68840.34,89781.17,42213.0,112475.15,89975.77,70625.45,156037.16,85736.01,72118.23,100659.49,166225.61,110595.99,97325.77
Z-27,127078.49,110248.61,56597.65,69887.69,79609.72,116491.48,152029.79,107911.58,163821.37,146857.81,119663.18,108256.94,107576.79,155589.73,152927.69,100210.22,inf,94076.7,128816.39,104131.88,140176.68,83407.47,127981.13,141502.5,165218.82,inf,inf,144366.5,29218.12,67583.57,57608.99,inf,88896.53,106595.33,128934.5,100170.8,124788.69,80384.77,99260.58,113149.33,77319.19,32060.02,97413.46,26561.6,202571.79,95427.34,38219.65,66734.61,150059.07,101575.33,57458.76,248686.81,141511.87,100685.82,150919.52,148154.49,186801.98,49868.61,80969.26,102226.65,93465.01,200566.44,122352.92,107119.61,55130.75,114391.24,140025.26,137684.29,107204.05,104014.35,130195.17,51197.53,148752.67,100145.32,122155.99,72360.0,96416.61,19457.37,inf,inf,99954.89,123842.6,40554.93,93214.6,145969.42,100165.83,45186.92,105511.79,144021.13,152242.18,58327.72,185038.72,154450.19,135331.22,inf,153909.15,182330.57,110988.67,125722.52,56448.19,131576.67,171242.09,165854.04,130731.53,121035.42,inf,73831.72,106466.08,82952.6,94042.61,95917.33,127906.37,10616.63,inf,125394.09,90636.44,94337.11,181634.53,115118.33,166163.51,138742.37,70414.77,161677.26,84018.74,97401.12,138371.08,126338.64,85092.66,68269.76,inf,63637.23,84811.84,inf,129157.14,80024.37,108619.94,106546.66
Z-28,176729.61,112037.25,161580.18,116556.94,123699.31,131808.97,84866.32,137954.12,69679.05,59797.12,101634.54,223454.02,102345.45,85764.97,135148.12,51877.46,131055.66,75284.17,171945.97,85568.04,104501.46,113545.4,64253.61,103795.87,60299.45,113636.74,92392.23,inf,152536.85,122981.5,50268.9,92286.22,104668.0,38881.91,inf,16094.76,102296.72,150648.18,56598.64,85860.54,12908.65,195302.41,101666.43,115683.17,119636.8,98323.7,144066.5,112617.38,63394.56,89492.54,112063.77,106496.41,65580.70999999999,79027.67,67330.16,55685.87,inf,121696.74,74726.99,201422.5,109645.25,128997.37,33876.33,100821.92,118415.31,65218.17,124883.57,108063.37,116193.76,79299.95,84905.97,50391.1,74027.99,90764.07,97836.95,196800.3,41600.83,112410.39,43467.92,101055.23,110975.9,inf,73644.38,88191.13,117983.33,67152.61,58353.01,157671.45,134197.55,94393.52,75942.04,161510.34,141665.52,163050.81,70514.05,51832.24,101296.37,131821.79,148016.61,168780.59,88555.17,116332.32,85103.48,18663.81,83200.3,84017.28,137680.43,55778.63,68648.77,106720.85,33404.48,112634.52,inf,94967.35,71400.36,184505.19,68067.31,84761.73,108403.64,82428.53,141404.75,38078.23,85104.94,85799.62,89740.69,99113.36,107965.26,73010.6,134836.59,116841.22,26599.35,87363.96,55808.96,89864.41,122755.57,43663.07,73841.65
Z-29,50186.84,96324.59,40340.61,107492.18,118769.75,206516.49,94987.63,103031.98,196900.48,98955.52,43931.67,125954.11,79080.8,89970.72,inf,168968.08,61604.69,99936.43,178195.53,8797.26,165469.87,140034.26,36275.19,152127.91,120301.99,44850.95,115659.08,129465.3,inf,117321.44,37518.75,127495.52,73278.12,75971.11,173846.97,99200.55,25345.06,143310.82,74880.69,99301.14,113143.15,94306.37,5516.16,131620.14,53681.76,59811.75,114347.91,77710.84,132961.43,127482.39,71302.51,inf,inf,131658.08,52832.78,2703.31,144326.73,64869.77,39832.26,31028.52,106963.29,129551.08,119148.1,130488.96,90970.68,69871.22,152786.47,197497.62,31329.24,78293.91,64163.79,68949.56,55175.62,93188.5,58544.79,116495.94,69209.12,144090.65,82692.67,113464.97,89225.67,113506.59,inf,85184.62,115634.82,135756.25,114433.01,106930.52,53990.11,131476.3,81727.4,79337.36,88091.66,19430.89,95928.07,90275.49,4083.69,113161.25,177563.35,94933.03,126893.25,88342.23,172054.12,115088.63,179541.69,24758.81,92384.44,63076.32,79178.24,112521.35,69296.92,119831.26,176413.84,97188.62,70890.4,70771.06,87150.16,143751.12,131433.08,160915.32,188226.49,127298.41,inf,85713.98,132147.88,121564.0,94457.02,120527.75,inf,72966.6,123459.01,63040.12,58970.72,74914.17,146193.37,62618.76,95586.26
